recall,precision,specificity,f1,auROC,auPRC,tp,fp,tn,fn,fold,best_epoch,n_train,n_valid
0.7574750830564784,0.6826347305389222,0.702247191011236,0.7181102362204724,0.8067303744074061,0.7818153225343544,228.0,106.0,250.0,73.0,1.0,2.0,2359.0,657.0
0.6511627906976745,0.6950354609929078,0.7261146496815286,0.6723842195540308,0.7614110078930105,0.7516128649489963,196.0,86.0,228.0,105.0,2.0,1.0,2401.0,615.0
0.7446043165467626,0.6993243243243243,0.7003367003367004,0.7212543554006968,0.792687062471235,0.7856674411035587,207.0,89.0,208.0,71.0,3.0,2.0,2441.0,575.0
0.7054794520547946,0.7601476014760148,0.7896440129449838,0.7317939609236235,0.8157334751961697,0.805739526331968,206.0,65.0,244.0,86.0,4.0,2.0,2415.0,601.0
0.701067615658363,0.7350746268656716,0.7526132404181185,0.7176684881602914,0.7916351507185636,0.7769569343669658,197.0,71.0,216.0,84.0,5.0,1.0,2448.0,568.0
