fold,epoch,train_loss,valid_loss,train_auROC,valid_auROC,train_auPRC,valid_auPRC
1.0,1.0,0.664227294095647,0.6042624580216008,0.7483005672926447,0.7639049609914518,0.7236330561257613,0.7133134570367775
1.0,2.0,0.6283057637263173,0.608913920286765,0.7708836762404492,0.7799469931688379,0.7468250152108199,0.7351814652693774
1.0,3.0,0.6056340526680464,0.5752352845813948,0.7794534774003498,0.7829426257045803,0.7660862191814466,0.7463835761545193
1.0,4.0,0.5982141539726079,0.600636765837125,0.7936854172420142,0.7876460487513532,0.7696563210124656,0.7509466519493632
1.0,5.0,0.58924831259852,0.5861121643691847,0.7853939404400258,0.7759341520773451,0.7698728379098605,0.7328046012444273
1.0,6.0,0.5991341505782389,0.6412119505702996,0.7967282863849765,0.7776419425883757,0.7860781828736036,0.7543134385698884
1.0,7.0,0.5839958604031975,0.5978533788789716,0.8088501392340972,0.792358803986711,0.7978536939639318,0.7584763760751091
1.0,8.0,0.5704443035817035,0.6999674336006653,0.8126898646782656,0.7918455336145432,0.7993080745612919,0.7686688167747373
1.0,9.0,0.5673740819229216,0.6132765739044824,0.8311908830433583,0.7818880883944903,0.820136981103013,0.7390228875615124
1.0,10.0,0.5616703142852993,0.5796437754410587,0.8436982187241094,0.7947758408301915,0.8303396382360351,0.7500637320128245
1.0,11.0,0.5463977631192533,0.5646901585195707,0.8385546119856394,0.7960263541005637,0.8248867973985712,0.7647410854570761
1.0,12.0,0.5444954495502762,0.6834765696044744,0.8525650430359937,0.7858729329202285,0.8442569598886549,0.7285612752000702
1.0,13.0,0.5220703261289722,0.6162416503468423,0.8765419313265213,0.7934320056739705,0.869663564525748,0.7440522375839413
1.0,14.0,0.500445224411056,0.618441718921088,0.872677034428795,0.760592034043824,0.8656777202425789,0.7357302830645078
1.0,15.0,0.49341026217617084,0.6444666297649866,0.9077261259550768,0.7741983650005599,0.9089854157170568,0.7440216927751553
1.0,16.0,0.47103021805849354,0.6159387036273468,0.9258643157967412,0.7843331218037255,0.9225191845875187,0.7476530825835594
1.0,17.0,0.43751915564169164,0.715811828698515,0.9373921223418944,0.7622065026690059,0.9423746128939571,0.7050744784797235
2.0,1.0,0.6571614039237178,0.6748141992382887,0.7716301513432969,0.7211312609772097,0.7356684272644539,0.6999103307781775
2.0,2.0,0.6301624736702477,0.8797394965722309,0.7703940930522196,0.6956429735277313,0.7392154848169015,0.681495995777259
2.0,3.0,0.6156004891699426,0.6659147375967445,0.7917827317409483,0.748153712677487,0.7605498097419237,0.729114470233247
2.0,4.0,0.600352645615447,0.7329067433752665,0.7864701483408948,0.7495820724971962,0.7615136340504249,0.7309667270888718
2.0,5.0,0.5930487011830442,0.6340985249697677,0.8116812894760251,0.7491059525572932,0.7851655419585207,0.73032390442716
2.0,6.0,0.5836670606124406,0.6672108608532727,0.8160472822702607,0.7554965401951034,0.7988785347132422,0.7338506650520361
2.0,7.0,0.5742852012101236,0.6212987484970713,0.8235275720576462,0.7666483272319446,0.8026877846875535,0.749447374715124
2.0,8.0,0.563556633830716,0.6287045049473522,0.8286969853660706,0.7650400998793829,0.808634328343591,0.7366770718320694
2.0,9.0,0.56025834457917,0.6782412740273204,0.8288373754559204,0.7661616268489324,0.8019862338749189,0.7441730227014185
2.0,10.0,0.5568856693515675,0.6708001976090718,0.8450204608130949,0.7648390714603128,0.8279564127735857,0.7344444371785313
2.0,11.0,0.5351876336204564,0.651652605940656,0.8583609943510363,0.7758321518505195,0.8403829516353125,0.7483394034788252
2.0,12.0,0.5198383055493913,0.7159288667081818,0.8811625689440441,0.7682036523689613,0.8625298623558336,0.7414299807979738
2.0,13.0,0.49298859521380467,0.7156929329158814,0.8861276521216973,0.7348329348033095,0.8675451188429396,0.7037724566421675
2.0,14.0,0.46518932591374346,0.7020841733226931,0.9256043723867984,0.7638656706942886,0.9099314803060453,0.7314834599539674
2.0,15.0,0.4580697856536263,0.6820386395221804,0.9410361622631438,0.756332395200711,0.9272526253364556,0.7257348468913114
2.0,16.0,0.4198734683823655,0.7388938386265824,0.9519428042433947,0.7499418075629007,0.9414996368143745,0.7263073109815651
2.0,17.0,0.4129005242565779,0.8793832236189183,0.9479757417044745,0.7394883297712509,0.948545754711064,0.7203680570534008
3.0,1.0,0.6595242548946082,0.7232749945184459,0.767485126550368,0.7400746069810819,0.723868067273329,0.6960876758030088
3.0,2.0,0.62301798112956,0.6588016248785931,0.7590554939329771,0.7338492842089965,0.7249462169290753,0.7160442716151989
3.0,3.0,0.6120444268342268,0.6480957227167876,0.8021229538502908,0.7703291911925005,0.7674399237265697,0.7606674978770904
3.0,4.0,0.5853998779957532,0.6792013632732888,0.7917058250142853,0.7495821524598504,0.7611170727535079,0.734008462953727
3.0,5.0,0.5873265670782618,0.6608051159070886,0.8096137944943028,0.7763970641668484,0.7866771281149463,0.7644630336642577
3.0,6.0,0.5753517402751872,0.6187684908120529,0.8184941682632516,0.7514715500327012,0.7914179657362718,0.7409958030614742
3.0,7.0,0.5701774424067876,0.6656066874317501,0.8161991193573326,0.7718915776469732,0.7874414025860369,0.7537286947707763
3.0,8.0,0.5764016760196514,0.6346814009417658,0.8382172027830999,0.7776566625487489,0.8122335369815691,0.7617644674999329
3.0,9.0,0.5443985381486816,0.6664629759995834,0.8535524856307352,0.7758520456362183,0.8314329314027806,0.759995411676293
3.0,10.0,0.5414199473817833,0.675925760683806,0.8714093643911129,0.7742533246130369,0.8429082716688032,0.7546213407014012
3.0,11.0,0.525175765455868,0.6832022979466812,0.8749426910019831,0.7749436814185017,0.853980552642005,0.7616861929506131
3.0,12.0,0.5141540836819075,0.750540892144908,0.8985983664414641,0.7667441804132453,0.878019143800973,0.7479564842839163
3.0,13.0,0.48698016182534376,0.6763754600027333,0.8966945648885752,0.7679068866119227,0.8852985265686296,0.742427661318664
